,Tamil Words
96,நம்பிக்கையான
97,பசுமையைப
98,நல்லன
99,தாக்கமும
100,கண்ணுக்குக
101,உபயோகமாயிருக்கிறதல்லவ
102,எதிர்பார்க்கவில்ல
103,அமைந்திருந்த
104,திருமந்திரத்தைச
105,வெவ்வேற
106,படுத்துக்கொள்கிறேன
107,மகிழ
108,பிசாசுமில்லையட
109,மலரினால
110,மந்தையாகப
111,பங்கமும
112,பாட்டியிடம
113,சந்தித்தோம
114,உண்டாக்குவதற்காகவ
115,மிச்சமில்லாமல
116,உதடுகள
117,சாந்தப்படுத்த
118,திருமுகத்தையும
119,அசைந்தத
120,தோப்புகளும
121,பொறித்த
122,பவழச
123,பச்சிலைத
124,வேலனாட்டம
125,நறுமணத்த
126,இளமையாய்த
127,ராஜ்யத்துக்க
128,விலகிற்ற
129,பொய
130,காரியமில்லைய
131,திறந்தன
132,அருள்மொழிவர்மரைப
133,அடிம
134,ராஜவம்சங்களும
135,குருகூர்ச
136,குழந்தையாக
137,பெயர்கள
138,கடைசியாகக
139,நல்லதல்ல
140,சூட்டிக
141,படையைச
142,புலித
143,தெளிவாகச
144,வேளக்காரப
145,பணிய
146,சிறுவனாயிருந்தபோத
147,வாழ்ந்ததெல்லாம
148,பலவகைத
149,பேசவ
150,ஒற்றர்களைப
151,ஸ்திரீகளின
152,மீட்டிப
153,தன்னுடைய
154,அனுப்பியிருப்பான
155,ஆபரணத்தைப
156,பலவிதக
157,போனேன
158,வேதாளம
159,இயங்கும
160,இல்லாமலிருப்பத
161,அபாயங்கள
162,அவன
163,பெரும்பாலும
164,நேரிலேய
165,எரிகிறத
166,சித்தின
167,வாங்குவதற்க
168,பிடிக்காத
169,சலுகைகள
170,செய்யக்கூடும
171,அறத்திலும
172,அபயக
173,வேளார
174,குந்தவைப்பிராட்டியைப
175,புதல்வர்களான
176,புற்றிலிருந்த
177,இலைச
178,செல்வர்களான
179,இல்லாதவன
180,கண்டுபிடிக்காமல
181,அனுப்பவில்லையாம
182,கண்டுபிடித்துத
183,காண்பதற்குத
184,பழிவாங்குவதற்க
185,மூலமாகவாவத
186,எளிதில
187,பாக்கிய
188,சூரியனுக்க
189,புலன
190,கவ்வுகிறத
191,துளிக்கும்பட
192,பார்த்தவரைப
193,சொல்லுகிறாள
194,மீனைச
195,இளங்க
196,புதுப
197,வேத
198,கோட்டான்களுந்தான
199,கண்டதற்க
200,உள்ளத்தில
201,யோசித்துச
202,வழியாகச
203,தீனமாகக
204,பலிக்காத
205,சத
206,பெற்றோர்கள
207,கொடுங்கள
208,கேட்டுவிட்டுப
209,நதியில
210,குண்டான
211,அனல
212,குலத
213,கதம்பமாகத
214,கவிழாமல
215,வேரூன்ற
216,பொருள
217,ஊன்றிக
218,அணிந்தவன
219,திருப்பத்துக்க
220,தனியாக
221,சிக்கியிருந்த
222,தொடங்கவில்லையெனத
223,பேறாகக
224,பாசுரங்களையும
225,பீதாம்பரங்கள
226,மைத்துனர
227,கொடியைப
228,அதுவர
229,மண்ணைத
230,மேற்கேயிருந்த
231,நலனுக்கும
232,போனாள
233,மலர்களைச
234,பகைவர்கள்தான
235,உறுதியினால
236,பேசுவோம
237,வைரியாகக
238,சொல்லிவிட்டான
239,சித்தமாயிருந்தன
240,அதட்டிக
241,போரில
242,பையைத
243,பிராண
244,நாயகியையும
245,இறகின
246,நம்பியும
247,கொந்தளித்துக
248,தீராத
249,பாறைச
250,அழகிலும
251,கொண்டாடுவார்கள
252,தாகமாயிருக்கிறத
253,கிட்டவேண்டும
254,ஆழ்வார்க்கடியானுக்குத
255,தங்களுக்கும
256,உயரத்தையும
257,தேவியினால
258,கொன்ற
259,விரும்புவதாகவும
260,நெடுஞ்சுவர்கள
261,தனிமையில
262,கட்டியிருப்பதைக
263,பரிந்த
264,பொறித்துச
265,அருவருப்பாயிருக்கிறத
266,போட்டுப
267,வைத்துக்கொள்வத
268,பூனைக
269,தம
270,துஞ்சின
271,நிறைவேற்றுவதற்காகப
272,கேட்கட்டும
273,யானைப
274,பரிகாசச
275,மன்னிக்க
276,மாரியம்மன
277,சுயமாகச
278,பட்டத்த
279,இங்க
280,மாடமாளிகைகளின
281,சகோதரனாகிய
282,ஆபத்துக்குள்ளாவோம
283,ஆலாட்ச
284,கரையோரமாக
285,நிலைமையைக
286,நடப்பதைப
287,யாராலும
288,சூடியிருந்தார்கள
289,யாரைய
290,மரத்தில
291,மழநாட
292,கோயிலும
293,ஊமையாகப
294,நாணத்தினால
295,தலைக்குப
296,வாயைப
297,குரல்கள
298,ஈட்டிகள
299,வணங்கினான
300,சுளுந்துக்காரன
301,சுந்தரியாயிருக்கலாம
302,சக்கரவர்த்தியாக
303,பிரவேசிப்பதற்குத
304,பல்லவர்களையும
305,அனுப்பாமல
306,லோப
307,வரக்கூடும
308,வேட்டிய
309,விபத்த
310,காலங்கழிக்கலானான
311,காரியங்களினால
312,காரியங்களுக்குப
313,மழபாடிய
314,செயல
315,கலியாண
316,சுருங்கியத
317,தோன்றினான
318,ஆடினார்கள
319,வெளிக்காட்டும்பட
320,மேலாவத
321,உடையதுங
322,நட்சத்திரங்கள
323,அடியெடுத்த
324,தீவுக்கும
325,மிகச்சக்த
326,செலுத்துவதற்குப
327,வைத்திருக்க
328,பார்த்ததுண்ட
329,மோதிரத்தின
330,உணவைச
331,கண்டதற்கும
332,மினுக்க
333,அசடன
334,நதிகளையும
335,யாருடையவ
336,அகலிகையாக
337,சிரிக்கிறார்கள
338,திண்டாடியத
339,கர
340,விடுவோருமாக
341,படுத்ததுதான
342,கூறுவாள
343,ஆலைகளில
344,மண்டலத்தார
345,பாசாங்குதானட
346,தோல்வ
347,நிற்பதற்க
348,அகத்தின
349,பிடித்தவள
350,இரும்பையொத்த
351,கண்ணாயிருக்கிறத
352,சிறையின
353,முட்டிக
354,தீரவேண்டும
355,பின்வாங்கிச
356,குடும்பத்தாருடைய
357,இலேசாகத
358,இசைக
359,உயிர்ப்பிச்ச
360,விர்ரென்ற
361,வந்தவனிடம
362,கொண்டிருப்பார
363,கெட்ட
364,சிலரையும
365,படிக்கும
366,கன்னத்தின
367,முழையூர
368,வரப்போகிறார
369,வீரர்களைத
370,நம்பினாய
371,களஞ்சியங்களில
372,உதவியவர்கள
373,மரத்தின
374,பேசுகிறாள
375,தரிசிக்க
376,உனக்குப
377,கோபிக
378,பரிபூரணத
379,கொண்டிருப்பதைவிடக
380,அச்சம்பவம
381,பூமியில
382,படுக்கைதான
383,கவர்ச்சியும
384,நாடக
385,வலிவுள்ளத
386,இறக்கிப
387,ஆலயங்கள
388,கட்ட
389,இப்படிய
390,பிள்ளையாயிற்ற
391,நாணல
392,உண்டுபண்ணிய
393,காரியமாகிவிடும
394,ஆட்டத்திற்குத
395,நீக்க
396,ஏற்பட்டிருக்கலாம
397,கூறியவர்கள
398,முடுக்கில
399,கூறுவதற்காகத்தான
400,வாலிபன்தான
401,தூக்கிய
402,தாதியர்களுக்கும
403,பெருமுழக்கம
404,கொடுத்தாக
405,இளவரசரைத
406,நாடுகளிலும
407,ஊறிக
408,யோசிக்கிறீர்கள
409,புத்தியும
410,எனினும
411,கூடியுள்ள
412,வார்த்தையாகச
413,போயும
414,முத்துக்களில
415,சண்டையில
416,நீரோடைகளில
417,வலைகளில
418,பலவிதமான
419,போயிருக்கிறான
420,தொண்டுக
421,எடுக்க
422,கொண்டுதானிருக்கும
423,தலைவணங்கினார
424,ஜனங்களைக
425,அங்கிருந்தான
426,சொல்வாய
427,திறனும
428,அக்கூட்டத்தாருக்குப
429,வழிபடுகிறவர்கள
430,புறப்படுவதற்குச
431,வழியிலுள்ள
432,முகட்ட
433,கத்தியினாலும
434,பட்டத்துக்குரியவர
435,கேள்வியுடன
436,வெளிப்பகைவர்களால
437,துணைவனையும
438,தரலாம
439,த
440,குந்தவைப்பிராட்டிக்க
441,பெருக்கித
442,பதற
443,தோத்திரமாகச
444,ஆள்வார
445,மழவராயர
446,போரிட்டான
447,உள்ளத்தின
448,எழுதுவோருக்க
449,கைவிட்டார்கள
450,அங்கேதான
451,செலவுக்காகப
452,சந்நியாசிகள
453,திகாந்தங்கள
454,ஊகித்துத
455,தொடங்கவும
456,ஒவ்வொருவருடைய
457,அழகியாகத்தான
458,கோலின
459,வைதும்பராயர்களும
460,இருக்கிற
461,இதற்குமுன
462,சகோதரியைப
463,வெறுப்ப
464,அலறினார
465,சமாளிப்பேன
466,வந்திருப்பேன
467,சிரித்தீர்கள
468,சந்திக்க
469,பிரதித்வனிகளும
470,வயதுக்குப
471,சேதியும
472,நம்மைத
473,தாய்நாட்டுக்க
474,அடங்கிய
475,உதயமாகப
476,உங்களிடம
477,வரையப்பட்டிருந்தன
478,கண்டெடுத்தார
479,தன்னைச
480,முக்காலமும
481,பாக்கியத்த
482,சுண்ணம
483,ஸ்தாபித்துக
484,இன்றும
485,தின்பண்டங்கள
486,குபீரென்ற
487,பொருளைத
488,பாராட்டிக
489,கருத்துமாய்க
490,மயமாய்ச
491,பயப்படுகிறேன
492,காவலர்களின
493,இராஜ
494,மச்ச
495,இவ்விதச
496,அடியிலேதான
497,பாத்திரரான
498,பிரதாபங்களைப
499,மாறும
500,பழுவூர்த்தேவரைக
501,கொக்குகள
502,தேவாரத்தைய
503,இந்தப
504,சுவர
505,அத்துற
506,சற்ற
507,பத்துப
508,பரிவாரங்களும
509,மந்திரக்கார
510,மாறாத
511,பட்டாச்சாரியாரிடம
512,மறுபக்கம
513,பட்ட
514,காட்சிகள
515,வார்த்தைகளின
516,கனமான
517,பக்கங்களிலும
518,போலக
519,துணிச
520,முகஸ்துதியைப
521,கோபம
522,காப்பாற்றிக
523,வசித்தான
524,மழ
525,சுத்தத
526,செயற்க
527,ஆகிப
528,பக்தர்களாலும
529,இலட்சணங்களும
530,நோக்கினாலும
531,அரவான
532,பக்கத்திலிருந்த
533,பார்க்கவும
534,வேலைப்பாடுகள
535,புத்தியில
536,ஒலிகளும
537,சூரபதுமாசுரனுடைய
538,தட்டினார்கள
539,இருந்திருக்கும
540,பிரபலமான
541,அக்கணம
542,மகத்தான
543,அரண்மனைக்குள
544,உராய்ந்ததால
545,சிரிப்பின
546,போரிடுவோம
547,காட்சியளித்தன
548,ஏறுவான
549,புருவங்களையும
550,காந்தர்வ
551,திருத
552,பணிவான
553,மேன்மையைத
554,காளான
555,பிறர
556,மறந்திருக்கலாம
557,பகவத்கீதைக்கும
558,ஜனங்களும
559,எந்தக
560,சொல்லலாகாத
561,அழகாயிருப்பதைக
562,அழைப்புப
563,நீட்டும
564,தங்களுடன
565,செல்வங்களைக
566,வாயுண்ட
567,அமுங்கியிருக்கும்பட
568,மணியாக
569,தள்ளிப
570,வேண்டுமென்ற
571,ஆவீர்கள
572,தயங்குவதென்பத
573,நிலவறையைச
574,செப்புக
575,செய்த
576,தங்கச்சியைப
577,புறப்படச
578,பிரகாசமானத
579,வாணரும
580,சகிக்காமல
581,தட்டிவிட
582,அல்லோல
583,குடுமிக்காரனின
584,முடிவுக்க
585,ஆசைப்பட்டத
586,மன்மதன
587,பழிவாங்கும
588,பின்புறத்த
589,எதிரான
590,அலங்கரித்துக
591,குளம
592,மண்டப
593,தஞ்சையர
594,அமைதியாகப
595,யுக்தியினாலும
596,மற்றவர்களாலும
597,ஐயப்படுவார
598,சுற்றுமுற்றும
599,இளையராணியுடன
600,இப்பூவுலகில
601,குந்தவைய
602,என்பதற்காகவாவத
603,முகமாயிருக்கிறத
604,தீயினால
605,வீசத்தில
606,உயிரோடிருக்கும
607,பிரமிக்கச
608,அலைய
609,மாநகர
610,கிறீச
611,அறிவாளியாயிருக்கிறாய
612,மனைவிய
613,பரப்பப
614,வைதும்பர்களும
615,இயற்கைக்க
616,ஆயுள
617,நம்மவனாயிருக்கலாம
618,இயற்கைதான
619,வேண்டுமென்பதற்காகச
620,குடிகொண்ட
621,கிளப்புவாய
622,திட
623,மாறிமாற
624,ஏழைச
625,பாய்ச்சலில
626,தீவர்த்தியின
627,உதித்திருக்கிறத
628,முதலாய
629,விரும்பவில்ல
630,மறுபட
631,பெண்களைப
632,அடித்தால
633,பக்கத்திலுள்ள
634,பராபரியாகக
635,பெண்ணாக
636,பேரனான
637,உபயோகமாயிருப்பான
638,இழுக்கிறத
639,இலையிலிருந்த
640,வெட்கப்பட்டவளாய
641,நீலகிரியும
642,பழுவூர்ச
643,நிறைவேற்றியிருக்க
644,ஆடிப
645,மங்கலடைந்த
646,காளிதாஸன
647,திணறும
648,இருபுறத்திலும
649,அடக்கமும
650,தோஷம
651,அறிஞர்கள
652,வெளிப்படுத்த
653,சென்றான
654,ஆட்சேபத்தையும
655,நிறைவேறப
656,மெய்சிலிர்த்தத
657,குமுறியத
658,உரியவர்கள
659,சலசலப்புச
660,மனவேதனைய
661,தனித்தனிய
662,நடந்திருக்கிறத
663,அமுதனைத
664,மௌனமாயிருந்தான
665,பூண்டுகள
666,செல்வதற்குப
667,பிராயம
668,பனித்துளிகூடச
669,துடிப்ப
670,சேனாதிபதியான
671,தவறுதான
672,பூரித்த
673,தனக்குக
674,பட்டம
675,ஆளவந்தார
676,சுற்றுப்புற
677,பொறுத்திருக்கமுடியும
678,தெய்வத
679,ஜாதகத்த
680,அநாவசியமாய
681,கோழையானாலும
682,வருங்கால
683,கண்காட்ட
684,கலையுடன
685,திருட்டுப
686,உளவ
687,ஊரும
688,நாராயணனுடைய
689,ஐயுறுகிறேன
690,கொண்டிராமல
691,இறங்கச
692,பெருகித
693,உங்களோட
694,சர்வாதிகாரக
695,நிகரான
696,உடைகளைக
697,செந்நீர்ப
698,புலியினாலும
699,நேர்மாறாக
700,தோழியாயிருப்பாள
701,வானத்த
702,பழுவேட்டரையரையும
703,வாள்களோட
704,நியாய
705,கிடைத்தால
706,அதன
707,புனைசுருட்டும
708,வானுலகிலிருந்த
709,முற்றம
710,கேட்பதற்காக
711,ரதத்தைக
712,சேர்கிறான
713,சந்தேகித்துச
714,விரும்புவத
715,சாகாதவர்கள
716,இனிம
717,வழியல்ல
718,படவில்ல
719,பெருங்கூட்டமாயிருந்தனர
720,எப்படிக
721,தோன்றியவுடனேய
722,சாப்பிட்டார்கள
723,ஆதிக்கம
724,வாதம
725,மகாராஜாவுக்குப
726,கதைய
727,நிறைவேற்றினார
728,வனத்தில
729,கன்னங்கள
730,வேளூர
731,எல்லாவற்றுக்கும
732,ஓய்ந்திருந்தார
733,உயிரான
734,கிளம்பினேன
735,தென்னங்குருத்துகளால
736,அபிமன்யுவையும
737,பார்த்திருக்கிறோம
738,ஆழ்வார்க்கடியானின
739,வரவேற்பையும
740,பனித்துளியின
741,குதிரைய
742,குறைகளைப
743,அசாத்தியக
744,காத்திருப்பார்கள
745,உத்தேசித்தத
746,மாளிகைச
747,கடைச
748,சேரட்டும
749,என்னமாய்ப
750,மாகதர்கோன
751,திறனையும
752,முற்றிலும
753,அந்நாட்டில
754,படகிலிருந்த
755,நீர
756,மடங்க
757,மகளைத
758,சாம்ராஜ்யத்தில
759,காதோட
760,கூறிவிட்ட
761,மலரைய
762,எதிர்ப
763,இறக்கின
764,நடவாத
765,காரியமாகக
766,அங்கேயிருந்த
767,கூவியத
768,சம்பந்தப்பட்டான
769,இடும்பனும
770,தலைநிமிர்ந்த
771,உள்ளாகியிருந்த
772,பிரவேசித்தபோத
773,செம்மண
774,உட்கார
775,நந்திபுர
776,வீசிற்ற
777,அற்புதப
778,செல்ல
779,உறவுகளையும
780,அமைப்பதற்க
781,அருந்தியதில்ல
782,தோன்றுகிறாய
783,நிரூபித்திருக்கிறாய
784,அணுகியதும
785,முக்கியமாகச
786,ஆக்கினார
787,குவளைகளும
788,வேலின
789,ஏறத
790,தவறிச
791,ஊகித்திருந்தான
792,விட்டகலவில்ல
793,துளிர்த்த
794,பெண்ணரசியின
795,கொண்டிருக்கிறார்களாம
796,அரசகுமாரனுக்கும
797,துடிதுடித்தத
798,சாரலில
799,மனோவியாதியும
800,பையனுடைய
801,மலர்களைத
802,பூவையெல்லாம
803,வகையிலும
804,பாகவத
805,தலைப்பில
806,மேற்குத
807,திகம்பர
808,உண்மையும
809,ராணியையும
810,ஆதிகாலத்திலிருந்த
811,மனிதக
812,உதடுகளும
813,பொறுமையுடன
814,அடைவதற்காகத
815,கிடைத்தன
816,ஜனங்களுக்கும
817,நாட்டுக்க
818,சிறைப்படுத்தவில்லைய
819,கேசர
820,திடுதிடுவென்ற
821,கொள்ளலாமல்லவ
822,தாயும
823,குடிசைக்குள்ள
824,ஆடவரும
825,கோயில்களின
826,அதிகமாக
827,முன்னுரையுடன
828,இல்லையென்றும
829,வாங்குவோரும
830,பொன்னால
831,பவள
832,அரசருடைய
833,இல்லாத
834,மகிழ்ந்த
835,அப்படியேயாகட்டும
836,போடுவார
837,பிராட்டிக்க
838,பொருந்தியவர
839,ஆயிரக்கணக்கான
840,பெயர்பெற்ற
841,கந்தமாறனையும
842,தெரிந்திருப்பதினாலேதான
843,பிராட்டியைச
844,வந்தபோத
845,ஆழ்ந்தார
846,முழுவதையும
847,முக்கியமாகிவிட்டார
848,கைவரிசையைக
849,என்னவென்ற
850,அடைத்துப
851,அளித்தவர்கள
852,கவிகளையெல்லாம
853,விந்தைகளைச
854,யௌவனம
855,அனுப்பலாம
856,நடுநாயகமாக
857,பழுவேட்டரையர்களினால
858,பயன்படாத
859,செயலைப
860,கந்தமாறனும
861,சாத்திவிடுவார்கள
862,இராஷ்டிரகூடர
863,எழுதப்பட்டத
864,பெருமாளைக
865,திறக்கும
866,அவ்வளவாகப
867,சேர்வதற்குள
868,பேரிகைகளைச
869,பிடுங்கிய
870,உறங்க
871,மாதேவியையும
872,சூரியனுக்குக
873,ஓடித
874,அத்தாட்சிய
875,தழுவ
876,தெரியவில்லைய
877,அந்தப்புரம
878,சந்தேகந்தான
879,தெரிகிறத
880,பொருத்தமில்லாத
881,மறுகரையிலேயுள்ள
882,குறைந்ததும
883,சொல்வதெல்லாம
884,ஒற்றர்களும
885,பூர்த்தியாவதற்குள
886,அபயம
887,பரபரப்ப
888,சுழன்றன
889,சொன்னால
890,கடலும
891,ஆண்டிகளுக்கும
892,கௌரவர்களின
893,வீணைத
894,காட்சிகளையெல்லாம
895,கடினமாயிருந்தத
896,பேதைம
897,செல்வாக்க
898,பிள்ளைய
899,அரண்மனைகளில
900,விசித்திரமாகத
901,அமுதனிடம
902,வந்தியதேவனுடைய
903,திளைத்துச
904,நினைப்பேன
905,அழகன
906,அழக
907,கொடுப்பத
908,கொடுத்திருப்பீர்கள
909,சொன்னீர
910,மகிஷியுமான
911,மேலேறினான
912,அழிப்போம
913,எதிர்த்தால
914,தோப்ப
915,இதோட
916,பேச்சுத
917,அறியாதபட
918,அவளையும
919,பேசிக
920,பெண்ணுங
921,மக்களாலும
922,பெறற்கரும
923,கவிவாணர்களினால
924,பெண்ணடிமைத்தனத்தைப
925,அரசகுமாரிய
926,திக்க
927,வெளிச்சுவர
928,பெண்களும
929,குந்தவைப்பிராட்ட
930,பற்றுள்ளவர்களும
931,அக்கோயிலின
932,தெர
933,கோபமும
934,அம்பாரியில
935,உள்ளேயிருந்தவர்களுக்குச
936,அதிகாரம
937,இடங்களுக்கென்ற
938,விருதுப
939,கேளட
940,துறைய
941,வெற்றிக்காகத
942,பரமசிவனும
943,படையெடுப்ப
944,முதலியவற்றையும
945,என்னால
946,பட்டரும
947,வந்தியத்தேவனும
948,மடிய
949,தவறானால
950,தங்கினார்கள
951,கூடர்களின
952,தயங்க
953,படைகளுக்கும
954,வேளூரில
955,கொல்ல
956,தமையனுக்க
957,பயல
958,துடுக்கான
959,ஒன்றும
960,தலைமறைவாக
961,பிறத
962,தள்ளாட
963,நினைப்பதற்க
964,திண்டாடிப
965,திளைத்த
966,பெருநிலக்கிழார
967,எப்பேர்ப்பட்டவர்கள
968,ஜலம
969,வைஷ்ணவத்தைப
970,முறையிட்டார
971,கட்டக
972,பிடித்தவளைப
973,உட்கார்ந்தான
974,கடித்துக
975,ஆடுகிறார்கள
976,விடையும
977,பாட்டிலும
978,சதிகார
979,எண்ணியபோத
980,பெற்றிருந்தார்கள
981,அரசமரத்திலிருந்த
982,முழங்கினார்கள
983,தப்புவிக்க
984,செல்லப்பிள்ள
985,பிறருக்க
986,பாதுகாக்கும
987,பிட
988,பாதகர்கள
989,புதல்வனாகிய
990,நோக்கமும
991,வெளிப்படுகிறத
992,பழவூர
993,பூமால
994,புண்ணியமுண்ட
995,வீண
996,மகிஷிகள
997,மலர்களையும
998,எனக்காகப
999,அமர்ந்த
1000,குலுங்கும
1001,எதிரிப
1002,வந்திருந்தார்கள
1003,கட்டுவேன
1004,இடும்பன்காரிய
1005,வீட்டுக்குள்ள
1006,வெளிப்படுத்திப
1007,போடுவோரும
1008,அங்கத்தில
1009,கரத்தையும
1010,மக்களால
1011,இறுதியில
1012,வைத்திருகிறீர்கள
1013,ரிஷபம
1014,நரபல
1015,அளித்துத
1016,நினைக்காத
1017,புலிச
1018,முடித்துக
1019,ஆசையாயிருந்தத
1020,ஏமாளிய
1021,பாண்டவர
1022,கதிதான
1023,தேவலோகத்த
1024,என்னகண்டேன
1025,அமைத்தான
1026,விதிக்கும
1027,என்னைப
1028,சிலரும
1029,பரிதாபம
1030,ஆவண
1031,ஓஹ
1032,கேள்விப்பட்ட
1033,அரிசிலாற்றங்கரைய
1034,செம்பியன
1035,உட்கார்ந்திருந்தான்அவனைக
1036,பாம்பும
1037,சொல்லுங்கள
1038,நம்பிரான
1039,கேட்டுச
1040,உபயோகமாயிருக்கும
1041,ஏழும
1042,விரும்பினார்கள
1043,நாயக
1044,நடந்தத
1045,அபாயத்தைப
1046,வேஷத்த
1047,பேரரச
1048,நடனக
1049,என்னுடைய
1050,இருப்பதற்க
1051,படகுகளில
1052,வங்க
1053,மேல
1054,வரவேற்க
1055,மாற்றிப
1056,வியாபாரம
1057,உதட்டைக
1058,விசிற
1059,செத்தவனைப
1060,தெரிவித்த
1061,வெளியிட்டுக
1062,சரியாகக
1063,மலர்களும
1064,பிரகாசப்படுத்திக
1065,துடிதுடித்துக
1066,உடையிலிருந்த
1067,பொக்கிஷத்தைக
1068,நின்ற
1069,பாதத்தாமர
1070,ஏவியிருப்பார
1071,நினைத்தாய
1072,தாய
1073,உபாயமும
1074,வாய்ந்தவர
1075,பொதுவாக
1076,திசையெல்லாம
1077,இரும்புப
1078,விவகாரங்களைக
1079,ஓலைக்குக
1080,வசிக்கும
1081,வெறுந்தடியன
1082,மீசையும
1083,வீசின
1084,ஜயந்திக
1085,என்னமக
1086,கூடையுடன
1087,ஜாதகமும
1088,இவர்களின
1089,தாமதியாத
1090,இராஜரீகத்தில
1091,செய்திடும
1092,சமீபத்தில
1093,தங்களத
1094,தீரத்தில
1095,யோசிக்கப
1096,கொள்ளைக்காரர்கள
1097,வந்திருப்பதென்ன
1098,தஞ்சாவூரில
1099,அவரைத
1100,கையாளும
1101,யோசிக்க
1102,அமைப்பதற்காக
1103,திரும்பிய
1104,பஜ
1105,உறுதியாக
1106,பிழைத்தால
1107,கனம
1108,ஸ்தலங்களுக்க
1109,கொண்டதைப
1110,வாக்காயிருந்தத
1111,ஆடிய
1112,தோட்டங்களின
1113,மனத்திலேய
1114,கோஷ்டிக்கும
1115,புத்தமடத்துக்க
1116,இறங்கிக
1117,தேவிக்குக
1118,கற்பித்தேன
1119,சம்புவரையரைப
1120,கால்களில
1121,உங்களுக்குச
1122,மனத்தைத
1123,நீலோத்பவமும
1124,சரித்திரங்களைச
1125,சத்தத்தைக
1126,மர்மமாகவ
1127,நிலைகுலையச
1128,திலகத்தின
1129,கொள்வாள
1130,கொள்வதாக
1131,குடும்பம
1132,நட்ட
1133,குடித்தவர்கள
1134,அருவருப்ப
1135,நெடிதுயர்ந்த
1136,ஐம்பத
1137,கண்டும
1138,நகரவில்ல
1139,பலமிழந்த
1140,வெளிச்சமும
1141,ஒருவன
1142,பொறுத்திருக்கலாம
1143,பிரிவ
1144,வேண்டியவிதங்களைப
1145,கும்பகோணம
1146,எடுத்தவர்கள
1147,பலராமனையும
1148,யோசனைகள
1149,கூறியிருந்தபட
1150,உள்ளிருந்தவர்களைப
1151,தீரும
1152,தம்வேந்தன
1153,பிம்ப
1154,சொல்லாதீர்கள
1155,துர்கையம்மன
1156,மண்டபத்துக்குள்ள
1157,தாம
1158,ஆக்கலாம
1159,இறங்கும
1160,தனிக
1161,ஆண்டிருந்த
1162,முழக்கமும
1163,கொண்டிருந்தான
1164,மேற்கூறியவாறெல்லாம
1165,யமனுலகக
1166,கட்டவில்ல
1167,நகரத
1168,கல்லும
1169,கூட்டத்திலிருந்தவர்கள
1170,சாதனமாக
1171,வானதியைத
1172,கூசின
1173,சித்தமாயிருக்கிறார
1174,ஏற்றிவிட்ட
1175,விழிக்கச
1176,காடும
1177,புதிராக
1178,கண்ணாலும
1179,போற்றும
1180,மண்டபத்தில்தான
1181,அறிந்ததும
1182,குதிரையட
1183,அரைக
1184,விடவில்லைய
1185,தமக்கையின
1186,ஏறப்போன
1187,அவர்தான
1188,கிருஷ்ணன
1189,சமமட்டமான
1190,மேகங்களின
1191,வெறுந்தடியனோட
1192,விருந்தாளிகளைக
1193,முடிசூட்ட
1194,விளக்க
1195,நடுகற
1196,வைரங்களுக்கும
1197,குதூகலமாக
1198,சுமக்கும
1199,திரும்பக்கூடும
1200,தேரில
1201,சிரித்தாள
1202,சிநேகிதர்களானோம
1203,கூடவ
1204,வாட்டசாட்டமான
1205,விரிந்திருந்த
1206,வழிவிட்டன
1207,சாமான்யப்பட்டவர்கள
1208,ஸ்தாபித்த
1209,சிற்றரசர்கள
